Model Name (Dropdown),Custom Model Path (if 'Custom' is selected),Train Dataset (Dropdown),Custom Train Dataset Path (if 'Custom' is selected),Shuffle Train Data,Val Dataset (Dropdown),Custom Val Dataset Path (if 'Custom' is selected),Batch Size,Epochs,Save Best Model,Use Recommended Warmup Steps,Warmup Steps (fallback value),Evaluation Steps,Optimizer Class,Optimizer Params (LR),Scheduler,Checkpoint Path,Checkpoint Save Steps,Checkpoint Save Total Limit,Show Progress Bar,Output Path,Steps Per Epoch (leave blank for default),Weight Decay,Max Grad Norm,Use AMP,output,timestamp
gte-small,,Custom,D:\Projects\model_trainer\retrieval_model_trainer\test.json,true,Custom,D:\Projects\model_trainer\retrieval_model_trainer\test.json,64,1,true,true,1,2,AdamW,5e-05,warmuplinear,D:\Projects\model_trainer\test\ckpt,100,5,true,D:\Projects\model_trainer\test\output,,0,1,false,Configuration updated successfully!,2025-03-22 05:12:00.817208
gte-small,,Custom,D:\Projects\model_trainer\retrieval_model_trainer\test.json,true,Custom,D:\Projects\model_trainer\retrieval_model_trainer\test.json,64,1,true,true,1,2,AdamW,5e-05,warmuplinear,D:\Projects\model_trainer\test\ckpt,100,5,true,D:\Projects\model_trainer\test\output,,0,1,false,Configuration updated successfully!,2025-03-22 05:13:42.752639
